title,price_gbp,rating,availability,page,scraped_at,price_category,rating_label,in_stock,price_inr,recommended
"In a Dark, Dark Wood",19.63,1,In stock,2,2026-09-27 00:04:30,Affordable,Poor,1,2080.78,No
Behind Closed Doors,52.22,4,In stock,2,2026-09-27 00:04:30,Expensive,Good,1,5535.32,No
You can't bury them all: Poems,33.63,2,In stock,2,2026-09-27 00:04:30,Medium,Poor,1,3564.78,No
Slow States of Collapse: Poems,57.31,3,In stock,3,2026-09-27 00:04:31,Expensive,Good,1,6074.86,No
Reasons to Stay Alive,26.41,2,In stock,3,2026-09-27 00:04:31,Medium,Poor,1,2799.46,No
Private Paris (Private #10),47.61,5,In stock,3,2026-09-27 00:04:31,Expensive,Excellent,1,5046.66,No
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,3,2026-09-27 00:04:31,Medium,Excellent,1,2449.66,No
Without Borders (Wanderlove #1),45.07,2,In stock,3,2026-09-27 00:04:31,Expensive,Poor,1,4777.42,No
When We Collided,31.77,1,In stock,3,2026-09-27 00:04:31,Medium,Poor,1,3367.62,No
"We Love You, Charlie Freeman",50.27,5,In stock,3,2026-09-27 00:04:31,Expensive,Excellent,1,5328.62,No
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,3,2026-09-27 00:04:31,Affordable,Good,1,1512.62,Yes
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,3,2026-09-27 00:04:31,Expensive,Good,1,4683.08,No
Unicorn Tracks,18.78,3,In stock,3,2026-09-27 00:04:31,Affordable,Good,1,1990.68,No
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,3,2026-09-27 00:04:31,Medium,Poor,1,2705.12,No
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,3,2026-09-27 00:04:31,Affordable,Poor,1,1725.68,No
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,3,2026-09-27 00:04:31,Medium,Good,1,3298.72,No
This One Summer,19.49,4,In stock,3,2026-09-27 00:04:31,Affordable,Good,1,2065.94,Yes
Thirst,17.27,5,In stock,3,2026-09-27 00:04:31,Affordable,Excellent,1,1830.62,Yes
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,3,2026-09-27 00:04:31,Affordable,Poor,1,2023.54,No
The Secret of Dreadwillow Carse,56.13,1,In stock,3,2026-09-27 00:04:31,Expensive,Poor,1,5949.78,No
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,3,2026-09-27 00:04:31,Expensive,Poor,1,5979.46,No
The Past Never Ends,56.5,4,In stock,3,2026-09-27 00:04:31,Expensive,Good,1,5989.0,No
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,3,2026-09-27 00:04:31,Expensive,Good,1,4793.32,No
The Nameless City (The Nameless City #1),38.16,4,In stock,4,2026-09-27 00:04:32,Medium,Good,1,4044.96,No
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,4,2026-09-27 00:04:32,Expensive,Good,1,5735.66,No
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,4,2026-09-27 00:04:32,Expensive,Good,1,4553.76,No
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,4,2026-09-27 00:04:32,Medium,Good,1,2532.34,No
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,4,2026-09-27 00:04:32,Affordable,Good,1,1777.62,No
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,4,2026-09-27 00:04:32,Medium,Excellent,1,2182.54,No
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,4,2026-09-27 00:04:32,Medium,Poor,1,3935.78,No
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,4,2026-09-27 00:04:32,Expensive,Poor,1,5942.36,No
The Death of Humanity: and the Case for Life,58.11,4,In stock,4,2026-09-27 00:04:32,Expensive,Good,1,6159.66,No
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,4,2026-09-27 00:04:32,Expensive,Good,1,5199.3,No
The Art Forger,40.76,3,In stock,4,2026-09-27 00:04:32,Expensive,Good,1,4320.56,No
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,4,2026-09-27 00:04:32,Affordable,Poor,1,2091.38,No
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,4,2026-09-27 00:04:32,Medium,Excellent,1,3417.44,No
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,4,2026-09-27 00:04:32,Expensive,Good,1,4433.98,No
Soul Reader,39.58,2,In stock,4,2026-09-27 00:04:32,Medium,Poor,1,4195.48,No
Security,39.25,2,In stock,4,2026-09-27 00:04:32,Medium,Poor,1,4160.5,No
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,4,2026-09-27 00:04:32,Medium,Good,1,2652.12,No
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,4,2026-09-27 00:04:32,Expensive,Poor,1,5410.24,No
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,4,2026-09-27 00:04:32,Affordable,Poor,1,2101.98,No
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,4,2026-09-27 00:04:32,Expensive,Good,1,5342.4,No
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,5,2026-09-27 00:04:33,Affordable,Excellent,1,1442.66,Yes
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,5,2026-09-27 00:04:33,Affordable,Excellent,1,1414.04,Yes
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,5,2026-09-27 00:04:33,Affordable,Poor,1,2010.82,No
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,5,2026-09-27 00:04:33,Medium,Poor,1,3845.68,No
Patience,10.16,3,In stock,5,2026-09-27 00:04:33,Affordable,Good,1,1076.96,No
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,5,2026-09-27 00:04:33,Affordable,Good,1,1636.64,Yes
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,5,2026-09-27 00:04:33,Expensive,Poor,1,5131.46,No
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,5,2026-09-27 00:04:33,Expensive,Poor,1,4913.1,No
On a Midnight Clear,14.07,3,In stock,5,2026-09-27 00:04:33,Affordable,Good,1,1491.42,No
Obsidian (Lux #1),14.86,2,In stock,5,2026-09-27 00:04:33,Affordable,Poor,1,1575.16,No
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,5,2026-09-27 00:04:33,Medium,Poor,1,3537.22,No
Masks and Shadows,56.4,2,In stock,5,2026-09-27 00:04:33,Expensive,Poor,1,5978.4,No
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,5,2026-09-27 00:04:33,Affordable,Good,1,1486.12,Yes
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,5,2026-09-27 00:04:33,Expensive,Poor,1,4972.46,No
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,5,2026-09-27 00:04:33,Expensive,Good,1,4834.66,No
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,5,2026-09-27 00:04:33,Affordable,Poor,1,2111.52,No
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,5,2026-09-27 00:04:33,Expensive,Poor,1,4251.66,No
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,5,2026-09-27 00:04:33,Expensive,Poor,1,5713.4,No
Join,35.67,5,In stock,5,2026-09-27 00:04:33,Medium,Excellent,1,3781.02,No
In the Country We Love: My Family Divided,22.0,4,In stock,5,2026-09-27 00:04:33,Medium,Good,1,2332.0,No
